source_id,source_file,title,issuer,publication_date,page,source_type,source_tier,assurance_status,claim_type,retrieval_date,status,notes
SRC-AR-2020,raw_data/earnings/中际旭创-2020年报.pdf,中际旭创（300308.SZ）2020 年年度报告,中际旭创股份有限公司,2021-04（封面载明月份；具体披露日待核实）,不适用,official_filing,A,已审计,事实,2026-09-18,reported,年报全文 PDF；公告编号 2021-042；财务报表经董事会 2021-04-26 批准报出（p.136）。审计机构与意见类型未逐份核验，待核实。含 2018—2020 历史序列。
SRC-AR-2020-KPI,raw_data/earnings/中际旭创-2020年报-关键指标.md,中际旭创（300308.SZ）2020 年年度报告关键财务指标,本项目 data-collector（据公司年报提取）,不适用（提取稿；所依据年报 2021-04 披露）,不适用,official_filing,A,已审计,事实,2026-09-18,derived,据 2020 年报 PDF 原件提取并逐项标注 PDF 页码；非独立来源，数字须回 PDF 核对。
SRC-AR-2021,raw_data/earnings/中际旭创-2021年报.pdf,中际旭创（300308.SZ）2021 年年度报告,中际旭创股份有限公司,2022-04（封面载明月份；具体披露日待核实）,不适用,official_filing,A,已审计,事实,2026-09-18,reported,年报全文 PDF；公告编号 2022-042；2021-01-01 起首次执行新租赁准则（p.162）。审计机构与意见类型未逐份核验，待核实。
SRC-AR-2021-KPI,raw_data/earnings/中际旭创-2021年报-关键指标.md,中际旭创（300308.SZ）2021 年年度报告关键财务指标,本项目 data-collector（据公司年报提取）,不适用（提取稿；所依据年报 2022-04 披露）,不适用,official_filing,A,已审计,事实,2026-09-18,derived,据 2021 年报 PDF 原件提取并逐项标注 PDF 页码；非独立来源，数字须回 PDF 核对。
SRC-AR-2022,raw_data/earnings/中际旭创-2022年报.pdf,中际旭创（300308.SZ）2022 年年度报告,中际旭创股份有限公司,2023-04-23,不适用,official_filing,A,已审计,事实,2026-09-18,reported,年报全文 PDF；公告编号 2023-038。
SRC-AR-2022-KPI,raw_data/earnings/中际旭创-2022年报-关键指标.md,中际旭创（300308.SZ）2022 年年度报告关键财务指标,本项目 data-collector（据公司年报提取）,不适用（提取稿；所依据年报 2023-04-23 披露）,不适用,official_filing,A,已审计,事实,2026-09-18,derived,据 2022 年报 PDF 原件提取并逐项标注 PDF 页码；非独立来源，数字须回 PDF 核对。
SRC-AR-2023,raw_data/earnings/中际旭创-2023年报.pdf,中际旭创（300308.SZ）2023 年年度报告,中际旭创股份有限公司,2024-04-21,不适用,official_filing,A,已审计,事实,2026-09-18,reported,年报全文 PDF；公告编号 2024-023。
SRC-AR-2023-KPI,raw_data/earnings/中际旭创-2023年报-关键指标.md,中际旭创（300308.SZ）2023 年年度报告关键财务指标,本项目 data-collector（据公司年报提取）,不适用（提取稿；所依据年报 2024-04-21 披露）,不适用,official_filing,A,已审计,事实,2026-09-18,derived,据 2023 年报 PDF 原件提取并逐项标注 PDF 页码；非独立来源，数字须回 PDF 核对。
SRC-AR-2024,raw_data/earnings/中际旭创-2024年报.pdf,中际旭创（300308.SZ）2024 年年度报告,中际旭创股份有限公司,2025-04-20,不适用,official_filing,A,已审计,事实,2026-09-18,reported,年报全文 PDF；公告编号 2025-032；股本变动系资本公积转增（每 10 股转增 4 股）与股权激励归属，非送股。
SRC-AR-2024-KPI,raw_data/earnings/中际旭创-2024年报-关键指标.md,中际旭创（300308.SZ）2024 年年度报告关键财务指标,本项目 data-collector（据公司年报提取）,不适用（提取稿；所依据年报 2025-04-20 披露）,不适用,official_filing,A,已审计,事实,2026-09-18,derived,据 2024 年报 PDF 原件提取并逐项标注 PDF 页码；非独立来源，数字须回 PDF 核对。
SRC-AR-2025,raw_data/earnings/中际旭创-2025年报.pdf,中际旭创（300308.SZ）2025 年年度报告,中际旭创股份有限公司,2026-03-30,不适用,official_filing,A,已审计,事实,2026-09-18,reported,年报全文 PDF；公告编号 2026-020；审计机构普华永道中天会计师事务所（特殊普通合伙），审计报告文号 普华永道中天审字(2026)第10011号，标准无保留意见（p.86）。
SRC-AR-2025-KPI,raw_data/earnings/中际旭创-2025年报-关键指标.md,中际旭创（300308.SZ）2025 年年度报告关键财务指标,本项目 data-collector（据公司年报提取）,不适用（提取稿；所依据年报 2026-03-30 披露）,不适用,official_filing,A,已审计,事实,2026-09-18,derived,据 2025 年报 PDF 原件提取并逐项标注 PDF 页码；非独立来源，数字须回 PDF 核对。
SRC-Q1-2025,raw_data/earnings/中际旭创-2025一季报.pdf,中际旭创（300308.SZ）2025 年第一季度报告,中际旭创股份有限公司,2025-04-20,不适用,official_filing,A,未经审计,事实,2026-09-18,reported,季报全文 PDF；公告编号 2025-035；未经审计（p.13）；累计口径，Q1 单季即本季。
SRC-Q1-2025-KPI,raw_data/earnings/中际旭创-2025一季报-关键指标.md,中际旭创（300308.SZ）2025 年第一季度报告关键财务指标,本项目 data-collector（据公司季报提取）,不适用（提取稿；所依据季报 2025-04-20 披露）,不适用,official_filing,A,未经审计,事实,2026-09-18,derived,据 2025 一季报 PDF 原件提取并逐项标注 PDF 页码；非独立来源，数字须回 PDF 核对。
SRC-H1-2025,raw_data/earnings/中际旭创-2025半年报.pdf,中际旭创（300308.SZ）2025 年半年度报告,中际旭创股份有限公司,2025-08-26,不适用,official_filing,A,未经审计,事实,2026-09-18,reported,半年报全文 PDF；公告编号 2025-079；未经审计（p.55）；累计口径（1—6 月）。
SRC-H1-2025-KPI,raw_data/earnings/中际旭创-2025半年报-关键指标.md,中际旭创（300308.SZ）2025 年半年度报告关键财务指标,本项目 data-collector（据公司半年报提取）,不适用（提取稿；所依据半年报 2025-08-26 披露）,不适用,official_filing,A,未经审计,事实,2026-09-18,derived,据 2025 半年报 PDF 原件提取并逐项标注 PDF 页码；非独立来源，数字须回 PDF 核对。
SRC-Q3-2025,raw_data/earnings/中际旭创-2025三季报.pdf,中际旭创（300308.SZ）2025 年第三季度报告,中际旭创股份有限公司,2025-10-30,不适用,official_filing,A,未经审计,事实,2026-09-18,reported,三季报全文 PDF；公告编号 2025-099；未经审计（p.13）；含本报告期单季与年初至报告期末累计两栏，不可混用。
SRC-Q3-2025-KPI,raw_data/earnings/中际旭创-2025三季报-关键指标.md,中际旭创（300308.SZ）2025 年第三季度报告关键财务指标,本项目 data-collector（据公司季报提取）,不适用（提取稿；所依据季报 2025-10-30 披露）,不适用,official_filing,A,未经审计,事实,2026-09-18,derived,据 2025 三季报 PDF 原件提取并逐项标注 PDF 页码；非独立来源，数字须回 PDF 核对。
SRC-Q1-2026,raw_data/earnings/中际旭创-2026一季报.pdf,中际旭创（300308.SZ）2026 年第一季度报告,中际旭创股份有限公司,2026-04-16,不适用,official_filing,A,未经审计,事实,2026-09-18,reported,季报全文 PDF；公告编号 2026-042；未经审计（p.13）；累计口径，Q1 单季即本季。
SRC-Q1-2026-KPI,raw_data/earnings/中际旭创-2026一季报-关键指标.md,中际旭创（300308.SZ）2026 年第一季度报告关键财务指标,本项目 data-collector（据公司季报提取）,不适用（提取稿；所依据季报 2026-04-16 披露）,不适用,official_filing,A,未经审计,事实,2026-09-18,derived,据 2026 一季报 PDF 原件提取并逐项标注 PDF 页码；非独立来源，数字须回 PDF 核对。
SRC-H1-2026,raw_data/earnings/中际旭创-2026半年报.pdf,中际旭创（300308.SZ）2026 年半年度报告,中际旭创股份有限公司,2026-08-21,不适用,official_filing,A,未经审计,事实,2026-09-18,reported,半年报全文 PDF；公告编号 2026-081；未经审计（p.51）；累计口径（1—6 月）。
SRC-H1-2026-KPI,raw_data/earnings/中际旭创-2026半年报-关键指标.md,中际旭创（300308.SZ）2026 年半年度报告关键财务指标,本项目 data-collector（据公司半年报提取）,不适用（提取稿；所依据半年报 2026-08-21 披露）,不适用,official_filing,A,未经审计,事实,2026-09-18,derived,据 2026 半年报 PDF 原件提取并逐项标注 PDF 页码；非独立来源，数字须回 PDF 核对。
SRC-HLIST-2026,raw_data/filings/境外上市股份（H 股）挂牌并上市交易公告.pdf,境外上市股份（H 股）挂牌并上市交易公告,中际旭创股份有限公司,待核实（文件名未载日期；未打开 PDF 正文核对）,不适用,official_filing,A,不适用,事实,2026-09-20,reported,H 股挂牌并上市交易公告；正文披露日待核实。交易所公告，法定担责。
SRC-MBR-202608,raw_data/filings/截至2026-08-31证券变动月报表.pdf,截至 2026-08-31 证券变动月报表,中际旭创股份有限公司（H 股月报表）,待核实（数据截至 2026-08-31；月报表通常次月初披露）,不适用,official_filing,A,不适用,事实,2026-09-20,reported,H 股证券变动月报表；数据截至 2026-08-31；披露日待核实。
SRC-ESOP4-DRAFT,raw_data/filings/中际旭创：第四期限制性股票激励计划（草案）摘要.PDF,第四期限制性股票激励计划（草案）摘要,中际旭创股份有限公司,待核实（文件名未载日期；未打开 PDF 正文核对）,不适用,official_filing,A,不适用,事实,2026-09-20,reported,激励计划条款为事实；草案对业绩影响的测算属自述观点，本项目不采信其自述数值。股份支付费用须与年报费用明细对照，不得直接用草案自述数。
SRC-ESOP4-CXL,raw_data/filings/关于作废部分激励对象已获授但尚未归属的限制性股票.pdf,关于作废部分激励对象已获授但尚未归属的限制性股票,中际旭创股份有限公司（董事会公告）,待核实（文件名未载日期；未打开 PDF 正文核对）,不适用,official_filing,A,不适用,事实,2026-09-20,reported,董事会公告；作废数量、涉及人数待打开原文核对。
SRC-IR-2026-0330,raw_data/filings/中际旭创股份有限公司投资者关系活动记录表2026-03-30业绩说明会.pdf,投资者关系活动记录表（2026-03-30 业绩说明会）,中际旭创股份有限公司,2026-03-30（活动日；记录表披露日待核实）,不适用,company_voluntary,C,不适用,混合,2026-09-20,reported,公司自述；管理层经营数据陈述为事实口径、对前景的表述为观点。不能作为唯一论证依据，引用须标「据公司投资者关系记录」。
SRC-IR-2026-0416,raw_data/filings/中际旭创股份有限公司投资者关系活动记录表2026-4-16电话会议.pdf,投资者关系活动记录表（2026-04-16 电话会议）,中际旭创股份有限公司,2026-04-16（活动日；记录表披露日待核实）,不适用,company_voluntary,C,不适用,混合,2026-09-20,reported,公司自述；混合（经营数据为事实、前景表述为观点）。不能作为唯一论证依据。
SRC-IR-2026-0823,raw_data/filings/中际旭创股份有限公司投资者关系活动记录表2026-08-23中报电话会议.pdf,投资者关系活动记录表（2026-08-23 中报电话会议）,中际旭创股份有限公司,2026-08-23（活动日；记录表披露日待核实）,不适用,company_voluntary,C,不适用,混合,2026-09-20,reported,公司自述；混合（经营数据为事实、前景表述为观点）。不能作为唯一论证依据。
SRC-THS-2026H1,raw_data/filings/同花顺中报十大流通股东变化（ETF变动）.pdf,中报十大流通股东变化（ETF 变动）,同花顺（数据终端）,待核实（报告期为 2026 中报）,不适用,data_terminal,B,不适用,事实,2026-09-20,reported,资金面旁证（机构持仓 / ETF 变动）；不进财务计算；成品研报七节无对应位置，仅作背景参考。持仓明细未回基金定期报告原文核对。
SRC-CE-Q2-2026,raw_data/filings/中国经济网2026Q2基金持仓.pdf,2026Q2 基金持仓（中际旭创）,中国经济网（财经媒体）,待核实（报告期为 2026Q2）,不适用,media,C,不适用,事实,2026-09-20,reported,资金面旁证；引述公开基金持仓数据，未回基金定期报告原文核对。
SRC-CLS-2026Q1,raw_data/filings/财联社A股审美转向（2026Q1基金重仓明细）.pdf,A 股审美转向（含 2026Q1 基金重仓明细）,财联社（财经媒体）,待核实（报告期为 2026Q1）,不适用,media,C,不适用,混合,2026-09-20,reported,资金面旁证；持仓数据为事实、「审美转向」判断为观点。不作唯一论证依据。
SRC-LNK-TX,raw_data/filings/网址-股东股本查询（腾讯自选股）.docx,股东股本查询链接记录（腾讯自选股）,原资料包（用户导入）,不适用（链接记录）,不适用,link_record,D,不适用,不适用,2026-09-20,candidate,仅链接记录（https://gu.qq.com/sz300308）；未构成数据来源，仅作查询入口，不作证据。
SRC-IDX-FILINGS,raw_data/filings/中际旭创-公告与治理材料索引.md,公告与治理材料索引（本批材料来源块与分级判断）,本项目（登记稿）,不适用（2026-09-20 编制）,不适用,link_record,D,不适用,不适用,2026-09-20,derived,本项目编制的材料索引；承载本批公告的来源块与 A/B/C 分级判断。自身非独立来源，不作证据；tier 按最低档记。
SRC-NY-N361656,raw_data/news/NY N361656原产地裁定（2026-05-29）.pdf,原产地裁定 NY N361656,美国海关与边境保护局（CBP）,2026-05-29,不适用,regulator,A,不适用,事实,2026-09-20,reported,美国政府官方原产地裁定，法律上具约束力、可溯源；关税与原产地结论须以本文件为正式依据（原文 https://www.tarifflens.ai/rulings/N361656）。文件名提及的「USTR 2026-03-11 启动 301 调查」是否为同一事项，须打开原文确认，未确认前不得合并叙述。
SRC-SM-EM-301,raw_data/news/东方财富财富号301关税豁免.pdf,301 关税豁免（东方财富财富号文章）,东方财富「财富号」平台（作者未具名）,待核实,不适用,social_media,D,不适用,观点,2026-09-20,reported,无署名自媒体，属 secondary lead（线索）非证据，不作论点依据。文中关税 / 清单 / 税率 / 禁令等说法必须回溯至官方原文（USTR / BIS / CBP）后方可支撑关键结论；未找到官方依据的一律标 unverified，不进正式模型。
SRC-SM-TT,raw_data/news/今日头条美国限制光模块套路梳理.pdf,美国限制光模块套路梳理（今日头条文章）,今日头条平台（作者未具名）,待核实,不适用,social_media,D,不适用,观点,2026-09-20,reported,无署名自媒体，属 secondary lead（线索）非证据，不作论点依据。文中关税 / 清单 / 税率 / 禁令等说法必须回溯至官方原文（USTR / BIS / CBP）后方可支撑关键结论；未找到官方依据的一律标 unverified，不进正式模型。
SRC-SM-XQ,raw_data/news/雪球光模块关税与管制分析.pdf,光模块关税与管制分析（雪球文章）,雪球平台（作者未具名）,待核实,不适用,social_media,D,不适用,观点,2026-09-20,reported,无署名自媒体，属 secondary lead（线索）非证据，不作论点依据。文中关税 / 清单 / 税率 / 禁令等说法必须回溯至官方原文（USTR / BIS / CBP）后方可支撑关键结论；未找到官方依据的一律标 unverified，不进正式模型。
SRC-LNK-TRADE,raw_data/news/网址.docx,贸易政策链接记录,原资料包（用户导入）,不适用（链接记录）,不适用,link_record,D,不适用,不适用,2026-09-20,candidate,仅链接记录（https://www.tarifflens.ai/rulings/N361656，标题记作「USTR 2026-03-11 启动制造业领域 301 调查」）；未构成数据来源，仅作查询入口。
SRC-IDX-TRADE,raw_data/news/中际旭创-贸易政策材料.md,贸易政策材料索引,本项目（登记稿）,不适用（2026-09-20 编制）,不适用,link_record,D,不适用,不适用,2026-09-20,derived,本项目编制的贸易政策材料索引；4 份中仅 1 份 A 级（NY N361656），其余 3 份为 D 级自媒体；已建议补采 A / B 级来源。自身非独立来源。
